#	Summary: Metal Binding Proteins above treshold of 0.5

#	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

#	1268	348	390	820	886	1584	712	921	766	1623

ID	MetalBinding	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

7KOX_A	0.23	0.36	0.29	0.09	0.0	0.3	0.57	0.26	0.41	0.24	0.15

7KS4_B	0.29	0.35	0.3	0.2	0.13	0.37	0.41	0.12	0.38	0.39	0.4

7KSS_A	0.41	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.32	0.31

7KTH_A	0.41	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.33	0.31

7KTJ_A	0.4	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.33	0.31

7KTK_A	0.4	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.33	0.31

7KTL_A	0.41	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.33	0.31

7KTM_A	0.4	0.35	0.41	0.0	0.01	0.07	0.7	1.0	0.81	0.33	0.31

7KTO_C	0.6	0.5	0.32	0.12	0.11	0.35	0.3	0.09	0.49	0.74	0.48

7KWD_A	0.32	0.32	0.37	0.24	0.18	0.41	0.33	0.25	0.49	0.44	0.39

7KWO_V	0.84	0.41	0.45	0.35	0.59	0.3	0.4	0.09	0.44	0.53	0.57

7KWU_A	0.4	0.42	0.06	0.0	0.0	0.48	0.76	0.98	0.13	0.0	0.21

7KY2_A	0.74	0.47	0.23	0.28	0.05	0.5	0.33	0.02	0.49	0.4	0.66

7KYF_C	0.74	0.47	0.22	0.27	0.05	0.47	0.37	0.02	0.5	0.42	0.66

7KYH_A	0.74	0.43	0.2	0.28	0.04	0.49	0.33	0.02	0.49	0.39	0.67

7KZ4_A	0.65	0.62	0.32	0.07	0.13	0.41	0.47	0.76	0.43	0.04	0.48

7KZE_A	0.81	0.24	0.1	0.18	0.0	0.8	0.45	0.01	0.48	0.14	0.78

7L0G_A	0.41	0.56	0.0	0.0	0.0	0.0	0.99	0.0	0.01	0.0	0.01

7L0N_E	0.67	0.24	0.53	0.38	0.13	0.27	0.41	0.44	0.48	0.31	0.57

7L3L_A	0.78	0.17	0.31	0.34	0.22	0.36	0.26	0.12	0.36	0.4	0.51

7L3L_B	1.0	0.0	0.0	0.06	0.0	0.59	0.07	0.0	0.53	0.01	1.0

7L3L_C	0.77	0.17	0.31	0.33	0.21	0.36	0.27	0.13	0.36	0.4	0.51

7L3L_D	1.0	0.0	0.0	0.06	0.0	0.58	0.07	0.0	0.53	0.02	1.0

7L6G_B	0.32	0.39	0.41	0.32	0.52	0.38	0.4	0.31	0.27	0.49	0.39

7L6G_E	0.33	0.39	0.41	0.32	0.52	0.38	0.4	0.31	0.28	0.49	0.4

7L8P_D	0.45	0.69	0.27	0.0	0.0	0.93	0.63	0.88	0.31	0.0	0.45

7L8V_A	0.31	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

7L9F_A	0.4	0.16	0.24	0.06	0.0	0.35	0.6	0.14	0.44	0.14	0.45

7L9F_B	0.4	0.16	0.23	0.06	0.0	0.35	0.6	0.14	0.43	0.14	0.45

7L9F_C	0.4	0.16	0.23	0.06	0.0	0.35	0.6	0.14	0.43	0.14	0.45

7L9F_D	0.4	0.15	0.23	0.06	0.0	0.35	0.61	0.14	0.43	0.13	0.45

7L9H_A	0.39	0.19	0.27	0.1	0.0	0.38	0.59	0.17	0.46	0.19	0.46

7L9H_B	0.39	0.19	0.27	0.09	0.0	0.38	0.59	0.16	0.46	0.18	0.46

7L9H_C	0.39	0.19	0.27	0.1	0.0	0.38	0.59	0.17	0.46	0.19	0.46

7L9H_D	0.4	0.18	0.27	0.1	0.0	0.37	0.59	0.16	0.46	0.18	0.47

7L9I_A	0.4	0.1	0.27	0.08	0.0	0.36	0.6	0.08	0.45	0.21	0.45

7L9I_B	0.4	0.1	0.27	0.07	0.0	0.36	0.6	0.07	0.45	0.22	0.45

7L9I_C	0.4	0.1	0.27	0.08	0.0	0.36	0.59	0.08	0.45	0.22	0.45

7L9I_D	0.4	0.1	0.27	0.08	0.0	0.36	0.6	0.08	0.45	0.21	0.45

7LA8_A	0.76	0.39	0.22	0.31	0.12	0.26	0.44	0.03	0.46	0.41	0.58

7LBA_A	0.42	0.64	0.29	0.0	0.18	0.3	0.56	0.82	0.26	0.0	0.28

7LBA_B	0.42	0.65	0.3	0.0	0.17	0.3	0.56	0.83	0.3	0.0	0.27

7LBA_C	0.42	0.64	0.29	0.0	0.18	0.3	0.56	0.82	0.26	0.0	0.28

7LBR_A	0.74	0.45	0.17	0.99	0.09	0.41	0.12	0.02	0.48	0.64	0.6

7LCM_A	0.23	0.2	0.25	0.08	0.29	0.23	0.38	0.08	0.15	0.39	0.16

7LCP_A	0.42	0.34	0.4	0.94	0.48	0.35	0.33	0.2	0.43	0.31	0.48

7LL6_A	0.4	0.67	0.44	0.4	0.22	0.29	0.39	0.22	0.42	0.11	0.27

7LMK_A	0.48	0.18	0.36	0.36	0.17	0.38	0.27	0.27	0.19	0.4	0.46

7LN4_C	0.43	0.56	0.08	0.0	0.0	0.46	0.73	0.99	0.48	0.2	0.53

7LV3_A	0.42	0.42	0.16	0.0	0.0	0.28	0.69	0.78	0.38	0.06	0.47

7LV3_B	0.42	0.42	0.16	0.0	0.0	0.28	0.69	0.78	0.38	0.06	0.47

7LW2_A	0.67	0.33	0.34	0.3	0.61	0.35	0.25	0.49	0.39	0.48	0.46

7LW3_B	1.0	0.02	0.11	0.18	0.11	0.24	0.06	0.01	0.52	0.23	0.93

7LWB_A	0.4	0.0	0.04	0.0	0.0	0.18	0.75	0.0	0.16	0.0	0.11

7LXR_A	0.4	0.16	0.29	0.12	0.29	0.24	0.6	0.14	0.38	0.07	0.41

7LXR_B	0.4	0.15	0.29	0.1	0.3	0.25	0.6	0.14	0.38	0.08	0.38

7LYU_A	0.55	0.09	0.31	0.15	0.01	0.53	0.16	0.11	0.41	0.37	0.46

7LYU_B	0.53	0.07	0.31	0.2	0.01	0.48	0.16	0.11	0.42	0.39	0.47

7M0O_A	0.38	0.24	0.35	0.46	0.48	0.38	0.45	0.36	0.48	0.48	0.41

7M0X_A	0.28	0.12	0.3	0.02	0.01	0.31	0.56	0.34	0.4	0.29	0.23

7M0X_B	0.39	0.45	0.3	0.03	0.0	0.47	0.61	0.36	0.42	0.06	0.34

7M10_A	0.65	0.18	0.15	0.09	0.05	0.16	0.58	0.04	0.31	0.32	0.53

7M1A_AAA	0.26	0.26	0.32	0.31	0.01	0.29	0.55	0.2	0.33	0.3	0.29

7M1Z_B	0.39	0.25	0.41	0.72	0.5	0.34	0.48	0.23	0.52	0.67	0.36

7M1Z_C	0.39	0.25	0.4	0.72	0.5	0.34	0.47	0.2	0.52	0.65	0.36

7M3H_B	0.39	0.25	0.4	0.72	0.5	0.34	0.47	0.2	0.52	0.65	0.36

7M3K_A	0.4	0.67	0.42	0.39	0.09	0.71	0.51	0.47	0.47	0.17	0.31

7M43_A	0.4	0.59	0.32	0.0	0.0	0.05	0.66	0.97	0.85	0.79	0.14

7M44_A	0.4	0.59	0.32	0.0	0.0	0.05	0.65	0.97	0.85	0.79	0.14

7M45_A	0.4	0.59	0.32	0.0	0.0	0.05	0.66	0.97	0.85	0.79	0.14

7M4D_A	0.4	0.59	0.32	0.0	0.0	0.06	0.66	0.97	0.85	0.79	0.14

7M4E_A	0.4	0.59	0.32	0.0	0.0	0.05	0.65	0.97	0.85	0.79	0.14

7M4F_A	0.4	0.59	0.33	0.0	0.0	0.05	0.65	0.97	0.85	0.79	0.14

7M4I_A	0.4	0.59	0.32	0.0	0.0	0.05	0.66	0.97	0.85	0.79	0.14

7M4J_A	0.4	0.59	0.32	0.0	0.0	0.05	0.65	0.97	0.85	0.79	0.14

7M4V_K	0.24	0.11	0.36	0.03	0.02	0.4	0.51	0.54	0.46	0.42	0.15

7M50_L	0.2	0.02	0.3	0.01	0.0	0.18	0.38	0.14	0.5	0.35	0.06

7M6U_A	0.38	0.29	0.36	0.22	0.31	0.46	0.45	0.3	0.41	0.46	0.44

7M6U_B	0.38	0.29	0.36	0.21	0.31	0.45	0.48	0.31	0.37	0.46	0.45

7M6U_C	0.38	0.29	0.36	0.21	0.32	0.46	0.46	0.3	0.37	0.46	0.45

7M6U_D	0.37	0.2	0.37	0.24	0.33	0.43	0.46	0.3	0.36	0.42	0.45

7MBH_A	0.4	0.33	0.08	0.0	0.0	0.14	0.75	0.24	0.26	0.0	0.45

7MBL_A	0.68	0.29	0.16	0.18	0.39	0.33	0.58	0.46	0.45	0.42	0.56

7MBS_A	0.44	0.68	0.23	0.02	0.42	0.68	0.63	0.19	0.47	0.02	0.53

7MBU_A	0.45	0.65	0.22	0.03	0.4	0.6	0.64	0.15	0.46	0.03	0.53

7MC1_A	0.99	0.01	0.3	0.26	0.0	0.34	0.06	0.03	0.43	0.22	0.83

7MC3_A	0.98	0.01	0.26	0.24	0.0	0.3	0.01	0.08	0.38	0.26	0.71

7MC5_A	0.4	0.14	0.31	0.23	0.29	0.37	0.4	0.12	0.18	0.43	0.44

7MCJ_A	0.22	0.3	0.28	0.15	0.0	0.23	0.38	0.08	0.36	0.4	0.23

7MCJ_B	0.22	0.31	0.29	0.14	0.0	0.22	0.39	0.12	0.37	0.39	0.21

7MCR_A	0.4	0.11	0.32	0.01	0.29	0.27	0.59	0.79	0.55	0.33	0.3

7MEV_A	0.4	0.11	0.32	0.01	0.29	0.27	0.59	0.79	0.55	0.33	0.3

7MFH_A	0.85	0.6	0.11	0.21	0.02	0.89	0.14	0.0	0.7	0.14	0.74

7MFO_A	0.56	0.27	0.35	0.27	0.54	0.62	0.18	0.38	0.45	0.46	0.44

7MGQ_A	0.43	0.55	0.12	0.13	0.22	0.8	0.56	0.31	0.72	0.82	0.39

7MGQ_B	0.43	0.55	0.12	0.13	0.22	0.8	0.56	0.31	0.72	0.82	0.38

7MGQ_C	0.43	0.55	0.12	0.13	0.22	0.8	0.56	0.31	0.72	0.82	0.38

7MHA_L	0.41	0.12	0.05	0.0	0.8	0.78	0.71	0.84	0.23	0.09	0.32

7MHA_M	0.41	0.07	0.29	0.0	0.91	0.69	0.73	0.15	0.12	0.51	0.35

7MK4_A	0.56	0.38	0.4	0.46	0.71	0.38	0.26	0.29	0.4	0.74	0.45

7MKR_AAA	0.22	0.16	0.19	0.09	0.25	0.17	0.19	0.07	0.54	0.4	0.18

7MKS_AAA	0.22	0.15	0.23	0.1	0.23	0.2	0.25	0.09	0.52	0.41	0.15

7MLA_A	0.89	0.55	0.28	0.26	0.14	0.38	0.23	0.03	0.46	0.4	0.61

7MMP_A	0.25	0.6	0.41	0.14	0.11	0.35	0.38	0.25	0.39	0.23	0.18

7MMR_C	0.25	0.6	0.41	0.14	0.1	0.35	0.38	0.24	0.39	0.23	0.18

7MMS_A	0.26	0.6	0.41	0.14	0.11	0.36	0.39	0.26	0.39	0.23	0.21

7MMW_A	0.25	0.6	0.41	0.14	0.1	0.35	0.38	0.24	0.39	0.23	0.18

7MNP_B	0.17	0.03	0.24	0.01	0.42	0.15	0.14	0.49	0.15	0.32	0.2

7MNQ_B	0.18	0.02	0.23	0.01	0.39	0.26	0.05	0.49	0.14	0.3	0.19

7MNR_B	1.0	0.01	0.26	0.23	0.0	0.31	0.01	0.08	0.37	0.26	0.7

7MNS_B	0.71	0.04	0.35	0.14	0.05	0.22	0.02	0.47	0.21	0.31	0.46

7MNT_B	0.75	0.04	0.37	0.19	0.41	0.27	0.04	0.49	0.28	0.33	0.46

7MNU_B	0.75	0.05	0.38	0.19	0.41	0.27	0.04	0.49	0.29	0.33	0.46

7MNV_B	0.86	0.03	0.28	0.14	0.0	0.65	0.22	0.09	0.34	0.23	0.54

7MNY_A	0.41	0.01	0.0	0.0	0.0	0.23	0.82	0.07	0.1	0.0	0.16

7MNY_C	0.41	0.02	0.0	0.0	0.0	0.23	0.82	0.07	0.1	0.0	0.16

7MNY_E	0.41	0.02	0.0	0.0	0.0	0.26	0.8	0.16	0.12	0.0	0.19

7MNY_I	0.41	0.01	0.0	0.0	0.0	0.24	0.82	0.07	0.1	0.0	0.16

7MNY_K	0.41	0.02	0.0	0.0	0.0	0.23	0.82	0.07	0.1	0.0	0.16

7MO0_A	0.41	0.01	0.0	0.0	0.0	0.23	0.82	0.07	0.1	0.0	0.16

7MO0_C	0.41	0.02	0.0	0.0	0.0	0.24	0.81	0.09	0.1	0.0	0.17

7MO1_B	0.8	0.13	0.32	0.19	0.37	0.27	0.1	0.17	0.12	0.4	0.48

7MO2_B	1.0	0.33	0.09	0.19	0.0	0.47	0.06	0.0	0.49	0.13	0.92

7MO3_B	0.73	0.59	0.4	0.18	0.03	0.36	0.08	0.07	0.25	0.42	0.47

7MO5_B	0.92	0.08	0.36	0.29	0.49	0.22	0.5	0.14	0.33	0.45	0.53

7MPJ_AI	0.31	0.09	0.31	0.03	0.47	0.28	0.06	0.2	0.5	0.4	0.24

7MPJ_AP	0.21	0.19	0.24	0.08	0.0	0.51	0.32	0.04	0.29	0.41	0.06

7MPJ_AX	0.18	0.17	0.26	0.01	0.01	0.28	0.56	0.15	0.17	0.3	0.08

7MQA_NQ	0.25	0.08	0.34	0.1	0.34	0.32	0.54	0.16	0.23	0.31	0.29

7MQA_SI	0.4	0.31	0.24	0.1	0.36	0.22	0.6	0.29	0.42	0.13	0.48

7MQA_SL	0.24	0.24	0.16	0.04	0.03	0.12	0.24	0.02	0.05	0.35	0.33

7MSC_1	0.78	0.03	0.28	0.25	0.01	0.27	0.09	0.14	0.24	0.34	0.53

7MSC_6	0.74	0.05	0.3	0.17	0.0	0.26	0.05	0.16	0.14	0.31	0.53

7MSC_R	0.33	0.07	0.2	0.05	0.02	0.17	0.27	0.08	0.08	0.33	0.46

7MSC_X	0.42	0.44	0.04	0.0	0.0	0.13	0.7	0.08	0.35	0.0	0.56

7MSK_A	0.32	0.58	0.46	0.13	0.19	0.5	0.34	0.44	0.46	0.38	0.18

7MSK_B	0.32	0.58	0.46	0.13	0.19	0.5	0.34	0.44	0.46	0.38	0.18

7MSM_X	0.42	0.43	0.05	0.0	0.0	0.13	0.7	0.08	0.35	0.0	0.56

7MSP_A	0.4	0.36	0.44	0.15	0.61	0.36	0.18	0.65	0.33	0.3	0.42

7MSP_B	0.4	0.36	0.44	0.15	0.61	0.36	0.18	0.65	0.33	0.3	0.42

7MT2_U	0.19	0.21	0.18	0.02	0.09	0.1	0.29	0.18	0.05	0.3	0.21

7MTY_A	0.4	0.0	0.01	0.0	0.0	0.0	0.25	1.0	0.14	0.0	0.24

7MU5_A	0.22	0.0	1.0	0.08	0.0	0.55	0.0	0.1	0.16	0.46	0.01

7MU5_B	0.25	0.0	1.0	0.1	0.0	0.55	0.0	0.13	0.16	0.5	0.03

7MU5_F	0.22	0.0	1.0	0.08	0.0	0.55	0.0	0.09	0.16	0.46	0.01

7MVS_A	0.4	0.62	0.3	0.0	0.0	0.79	0.64	0.97	0.79	0.29	0.17

7MVS_B	0.4	0.62	0.3	0.0	0.0	0.79	0.64	0.97	0.79	0.29	0.17

7MW8_B	0.65	0.4	0.33	0.29	0.22	0.39	0.38	0.1	0.46	0.44	0.5

7MW8_C	0.65	0.4	0.33	0.29	0.22	0.39	0.38	0.1	0.46	0.44	0.5

7MWN_B	0.45	0.2	0.19	0.0	0.02	0.4	0.61	0.7	0.33	0.11	0.48

7MXV_Z	0.4	0.09	0.43	0.05	0.1	0.35	0.36	0.79	0.55	0.39	0.4

7MXW_Z	0.4	0.09	0.43	0.05	0.1	0.35	0.35	0.79	0.55	0.39	0.4

7MXX_Z	0.4	0.09	0.42	0.04	0.1	0.35	0.37	0.79	0.55	0.43	0.38

7MY0_A	0.49	0.46	0.31	0.12	0.41	0.38	0.55	0.14	0.33	0.4	0.48

7MY0_B	0.49	0.46	0.31	0.12	0.41	0.38	0.55	0.14	0.33	0.4	0.48

7MY1_AAA	0.49	0.46	0.31	0.12	0.41	0.38	0.55	0.14	0.33	0.4	0.48

7MY6_A	0.4	0.39	0.31	0.0	0.1	0.3	0.59	0.83	0.43	0.28	0.28

7MZ4_A	0.38	0.45	0.01	0.0	0.0	0.0	0.93	1.0	1.0	0.0	0.0

7MZ8_A	0.38	0.45	0.01	0.0	0.0	0.0	0.93	1.0	1.0	0.0	0.0

7N18_A	0.74	0.46	0.23	0.28	0.05	0.49	0.34	0.02	0.5	0.42	0.65

7N18_B	0.73	0.45	0.22	0.29	0.04	0.48	0.36	0.02	0.5	0.44	0.64

7N1P_LE	0.22	0.28	0.31	0.19	0.01	0.28	0.51	0.16	0.39	0.31	0.21

7N1P_SB	0.39	0.25	0.29	0.07	0.31	0.34	0.57	0.54	0.36	0.34	0.41

7N1P_SL	0.38	0.01	0.15	0.0	0.0	0.41	0.59	0.1	0.35	0.13	0.16

7N1S_A	0.67	0.41	0.33	0.29	0.22	0.39	0.38	0.09	0.46	0.44	0.51

7N2C_SN	0.28	0.09	0.21	0.13	0.01	0.25	0.3	0.05	0.15	0.43	0.42

7N2M_A	0.4	0.68	0.46	0.43	0.11	0.47	0.55	0.43	0.49	0.09	0.39

7N2T_A	0.41	0.48	0.38	0.02	0.01	0.39	0.22	0.21	0.64	0.32	0.46

7N2V_EF	0.4	0.36	0.15	0.02	0.51	0.45	0.66	0.31	0.36	0.04	0.32

7N2V_SR	0.08	0.08	0.06	0.0	0.07	0.05	0.35	0.03	0.03	0.2	0.09

7N2Y_A	0.78	0.04	0.26	0.24	0.0	0.28	0.06	0.11	0.32	0.32	0.53

7N3Z_A	0.45	0.26	0.28	0.19	0.45	0.39	0.51	0.6	0.45	0.4	0.46

7N4G_A	0.52	0.38	0.4	0.45	0.71	0.39	0.26	0.31	0.4	0.8	0.45

7N4P_A	0.4	0.68	0.49	0.03	0.01	0.5	0.57	0.45	0.45	0.0	0.18

7N5U_A	1.0	0.0	0.03	0.09	0.0	0.29	0.07	0.0	0.46	0.06	0.99

7N5W_A	1.0	0.01	0.03	0.1	0.0	0.29	0.09	0.0	0.47	0.06	0.99

7N7G_A	0.4	0.65	0.4	0.16	0.2	0.42	0.33	0.56	0.41	0.14	0.37

7N7G_B	0.4	0.65	0.4	0.17	0.2	0.42	0.32	0.54	0.41	0.14	0.37

7N7V_A	0.34	0.5	0.41	0.16	0.47	0.41	0.29	0.26	0.36	0.39	0.39

7N7V_B	0.38	0.47	0.44	0.16	0.55	0.41	0.29	0.28	0.35	0.47	0.39

7NB2_AAA	0.33	0.44	0.36	0.13	0.23	0.41	0.43	0.27	0.44	0.47	0.37

7NB3_AAA	0.33	0.44	0.37	0.13	0.25	0.41	0.41	0.27	0.45	0.48	0.37

7NB3_BBB	0.33	0.43	0.36	0.13	0.22	0.41	0.42	0.28	0.45	0.47	0.37

7NBB_C	0.7	0.19	0.12	0.31	0.03	0.24	0.44	0.02	0.45	0.35	0.7

7NBC_AAA	0.4	0.27	0.33	0.03	0.59	0.28	0.3	0.74	0.56	0.56	0.33

7NBC_BBB	0.4	0.28	0.33	0.1	0.57	0.32	0.3	0.63	0.56	0.47	0.37

7NBD_DDD	0.4	0.27	0.33	0.03	0.59	0.28	0.3	0.75	0.56	0.56	0.33

7NBH_AAA	0.4	0.28	0.33	0.1	0.57	0.32	0.3	0.63	0.56	0.47	0.37

7NBH_DDD	0.4	0.28	0.33	0.1	0.57	0.32	0.3	0.63	0.56	0.47	0.37

7NDI_A	0.23	0.19	0.29	0.02	0.0	0.18	0.11	0.11	0.53	0.41	0.11

7NDJ_B	0.58	0.14	0.24	0.25	0.01	0.27	0.05	0.09	0.48	0.42	0.48

7NE9_AAA	0.28	0.24	0.2	0.14	0.03	0.23	0.24	0.05	0.06	0.4	0.4

7NE9_CCC	0.28	0.24	0.21	0.15	0.03	0.23	0.24	0.07	0.06	0.4	0.4

7NEE_A	0.82	0.71	0.5	0.28	0.44	0.54	0.27	0.04	0.45	0.61	0.6

7NEU_A	0.82	0.72	0.5	0.28	0.4	0.56	0.26	0.03	0.45	0.6	0.6

7NF9_A	0.2	0.03	0.21	0.0	0.48	0.14	0.08	0.28	0.05	0.32	0.13

7NHE_A	0.34	0.34	0.38	0.2	0.54	0.39	0.29	0.41	0.46	0.6	0.33

7NHH_A	0.27	0.22	0.19	0.09	0.03	0.24	0.29	0.05	0.07	0.4	0.34

7NHH_B	0.56	0.19	0.3	0.04	0.63	0.65	0.18	0.36	0.35	0.66	0.43

7NHK_0	0.4	0.64	0.09	0.0	0.01	0.13	0.69	0.31	0.42	0.0	0.4

7NHN_0	0.4	0.15	0.06	0.0	0.0	0.17	0.72	0.1	0.19	0.0	0.17

7NHN_5	0.92	0.03	0.3	0.25	0.0	0.31	0.06	0.16	0.35	0.29	0.62

7NHN_9	0.97	0.01	0.24	0.26	0.0	0.32	0.09	0.07	0.41	0.25	0.75

7NHN_O	0.95	0.02	0.19	0.24	0.01	0.27	0.49	0.05	0.32	0.42	0.54

7NI7_B	1.0	0.23	0.63	0.19	0.82	0.25	0.34	0.03	0.47	0.33	0.87

7NIO_A	0.39	0.39	0.31	0.32	0.31	0.38	0.45	0.13	0.45	0.42	0.45

7NIO_E	0.39	0.39	0.3	0.31	0.21	0.48	0.44	0.13	0.45	0.45	0.45

7NJO_A	0.4	0.52	0.45	0.01	0.0	0.34	0.65	0.49	0.38	0.02	0.42

7NJP_B	0.4	0.51	0.45	0.01	0.0	0.35	0.65	0.49	0.37	0.02	0.41

7NLK_A	0.53	0.65	0.36	0.5	0.09	0.59	0.34	0.14	0.46	0.38	0.49

7NMJ_D	0.31	0.52	0.42	0.47	0.13	0.4	0.36	0.21	0.31	0.34	0.38

7NMU_CCC	0.28	0.23	0.28	0.21	0.01	0.46	0.17	0.08	0.46	0.4	0.4

7NNK_A	0.29	0.37	0.38	0.18	0.02	0.52	0.38	0.3	0.4	0.47	0.39

7NNK_B	0.31	0.48	0.38	0.18	0.02	0.54	0.39	0.31	0.43	0.43	0.39

7NQF_B	0.21	0.23	0.14	0.03	0.03	0.09	0.14	0.01	0.05	0.38	0.28

7NR1_A	0.29	0.37	0.38	0.18	0.02	0.52	0.38	0.3	0.4	0.47	0.39

7NRE_A	0.31	0.29	0.33	0.19	0.01	0.43	0.36	0.19	0.5	0.44	0.39

7NRR_AAA	0.39	0.6	0.44	0.41	0.4	0.46	0.31	0.47	0.44	0.35	0.36

7NS5_A	0.4	0.65	0.26	0.04	0.02	0.55	0.54	0.66	0.38	0.1	0.42

7NS5_B	0.4	0.65	0.26	0.03	0.02	0.55	0.54	0.66	0.38	0.09	0.41

7NS5_C	0.4	0.65	0.26	0.03	0.01	0.54	0.54	0.65	0.38	0.1	0.41

7NS5_D	0.4	0.65	0.26	0.03	0.02	0.54	0.54	0.65	0.4	0.1	0.41

7NSX_AAA	0.4	0.69	0.42	0.29	0.45	0.33	0.43	0.29	0.41	0.13	0.37

7NSZ_AAA	0.4	0.69	0.41	0.29	0.45	0.33	0.43	0.3	0.41	0.12	0.36

7NT0_BBB	0.4	0.69	0.41	0.3	0.45	0.33	0.43	0.31	0.41	0.12	0.36

7NTY_A	0.61	0.44	0.2	0.31	0.74	0.54	0.52	0.79	0.56	0.31	0.53

7NTZ_A	0.61	0.44	0.2	0.32	0.74	0.53	0.52	0.8	0.56	0.31	0.53

7NU0_A	0.58	0.46	0.16	0.17	0.73	0.57	0.6	0.79	0.56	0.48	0.54

7NU1_A	0.62	0.44	0.22	0.37	0.74	0.56	0.48	0.8	0.55	0.25	0.52

7NU2_A	0.6	0.46	0.17	0.24	0.73	0.59	0.57	0.79	0.57	0.41	0.53

7NU3_A	0.6	0.47	0.17	0.26	0.74	0.57	0.56	0.79	0.56	0.38	0.53

7NU4_A	0.64	0.43	0.23	0.41	0.74	0.55	0.47	0.81	0.54	0.22	0.53

7NU5_A	0.62	0.48	0.17	0.25	0.74	0.57	0.57	0.8	0.56	0.39	0.53

7NU6_A	0.6	0.46	0.17	0.26	0.74	0.57	0.56	0.79	0.56	0.38	0.53

7NU7_A	0.6	0.46	0.17	0.26	0.74	0.57	0.56	0.79	0.56	0.38	0.53

7NU8_A	0.6	0.46	0.17	0.24	0.73	0.59	0.57	0.79	0.56	0.42	0.53

7NU9_A	0.6	0.46	0.17	0.25	0.73	0.58	0.57	0.79	0.57	0.4	0.53

7NUC_A	0.63	0.46	0.17	0.26	0.73	0.55	0.57	0.8	0.56	0.36	0.54

7NUJ_B	0.29	0.38	0.39	0.19	0.02	0.52	0.38	0.3	0.39	0.45	0.39

7NUT_A	0.4	0.33	0.39	0.11	0.39	0.45	0.3	0.63	0.51	0.39	0.41

7NUU_B	0.4	0.33	0.39	0.11	0.39	0.45	0.3	0.63	0.51	0.39	0.41

7NVS_M	0.96	0.0	0.54	0.07	0.03	0.17	0.19	0.98	0.44	0.02	0.7

7NVS_W	0.85	0.03	0.15	0.26	0.0	0.26	0.41	0.03	0.46	0.27	0.77

7NVU_M	0.94	0.02	0.57	0.09	0.12	0.2	0.19	0.99	0.45	0.02	0.69

7NWN_AAA	0.41	0.76	0.41	0.47	0.0	0.27	0.1	0.13	0.48	0.18	0.25

7NWO_AAA	0.41	0.76	0.41	0.47	0.0	0.27	0.09	0.13	0.48	0.18	0.25

7NZ5_A	0.41	0.63	0.65	1.0	0.69	0.19	0.58	0.16	0.46	0.97	0.43

7NZ7_A	0.29	0.12	0.27	0.07	0.01	0.2	0.07	0.08	0.49	0.38	0.37

7NZ7_B	0.46	0.14	0.32	0.35	0.08	0.36	0.32	0.31	0.46	0.41	0.47

7NZ8_B	0.46	0.14	0.32	0.35	0.08	0.36	0.32	0.31	0.46	0.41	0.47

7NZ9_B	0.46	0.15	0.32	0.35	0.09	0.36	0.32	0.31	0.46	0.41	0.47

7NZP_AAA	0.37	0.29	0.33	0.23	0.5	0.33	0.41	0.37	0.26	0.49	0.44

7NZR_A	1.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.65	0.0	1.0

7NZX_A	1.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.65	0.0	1.0

7O0U_L	0.42	0.18	0.14	0.0	0.77	0.53	0.65	0.64	0.24	0.23	0.39

7O0U_M	0.42	0.23	0.37	0.0	0.83	0.54	0.64	0.26	0.15	0.56	0.31

7O0W_M	0.42	0.16	0.34	0.0	0.8	0.52	0.64	0.27	0.23	0.62	0.3

7O14_A	0.38	0.28	0.32	0.14	0.4	0.29	0.58	0.35	0.38	0.16	0.37

7O45_A	0.37	0.21	0.44	0.23	0.03	0.35	0.31	0.47	0.27	0.36	0.43

7O45_D	0.4	0.12	0.25	0.08	0.01	0.21	0.06	0.5	0.09	0.31	0.42

7O48_B	1.0	0.0	0.0	0.01	0.0	0.4	0.0	0.0	0.59	0.0	1.0

7O4D_A	0.99	0.08	0.11	0.16	0.02	0.35	0.18	0.01	0.48	0.15	0.96

7O5W_BBB	0.32	0.37	0.39	0.2	0.03	0.52	0.38	0.27	0.4	0.45	0.42

7O9M_N	0.28	0.11	0.51	0.24	0.02	0.39	0.42	0.18	0.45	0.44	0.37

7O9R_BBB	0.29	0.38	0.39	0.19	0.02	0.52	0.37	0.3	0.39	0.45	0.39

